Item Product Group Code,Style,Item No_,Season Code,Item Description,Variant Color,Variant Code,Item Barcode,Selling Price,999.0,100.0,103.0,105.0,106.0,108.0,109.0,113.0,114.0,116.0,117.0,201.0,251.0,301.0,302.0,401.0,501.0,551.0,TRUCK,Grand Total,total_quantity,total_value,days_of_inventory,tier,reorder_threshold
20-10-20,BOSTON REVERSIBLE HOODIE,102793,FA26,BOSTON - REVERSIBLE LEATHER & NYLON BOMBER W/HOOD,BLACK/NAVY,911.M.,0135729111148,677.0,2.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0,22,20.0,13540.0,30,best_sellers,500
20-10-20,BOSTON REVERSIBLE HOODIE,102793,FA26,BOSTON - REVERSIBLE LEATHER & NYLON BOMBER W/HOOD,COGNAC/NAVY,731.L.,0135729111111,677.0,0.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,20,20.0,13540.0,30,best_sellers,500
20-10-30,CORBAN,101654,KI00,CORBAN - BOMBER W/ELBOW PANELS & SIDE TABS,RED,6202XL,0135729102785,537.0,8.0,9.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,33,25.0,13425.0,30,best_sellers,500
20-10-30,SEAN,102748,SP25,SEAN - SHIRT COLLAR BOMBER WITH ZIPPER POCKETS,BLACK,990.M.,0135729110866,597.0,10.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,0,32,22.0,13134.0,30,best_sellers,500
20-10-30,SEAN,102748,SP25,SEAN - SHIRT COLLAR BOMBER WITH ZIPPER POCKETS,BLACK,990.L.,0135729110867,597.0,5.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,0.0,1.0,1,28,22.0,13134.0,30,best_sellers,500
20-10-30,SEAN,102748,SP25,SEAN - SHIRT COLLAR BOMBER WITH ZIPPER POCKETS,BLACK,990.XL.,0135729110864,597.0,11.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0,33,22.0,13134.0,30,best_sellers,500
20-10-30,JAXON,100552,KI00,JAXON - BOMBER WITH DETACHABLE FABRIC HOOD,WHISKEY,733.M,0135729100139,547.0,9.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,0,33,24.0,13128.0,30,best_sellers,500
20-10-30,HAYDEN,100980,KI00,HAYDEN - BOMBER W/KNIT COLLAR STORM INSERT,BLACK,990.XL,9135729099309,547.0,0.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,0,24,24.0,13128.0,30,best_sellers,500
20-10-30,JAXON,100552,KI00,JAXON - BOMBER WITH DETACHABLE FABRIC HOOD,BLACK,990.M,9135729065373,547.0,2.0,5.0,1.0,1.0,0.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,0,26,24.0,13128.0,30,best_sellers,500
10-30-10,JOVIE CROSSBODY,102733,SP25,JOVIE - CROSSBODY BAG W/ TOP HANDLE & 3D FLOWERS,NUDE,102.NS.,0135729110736,229.0,13.0,10.0,3.0,5.0,3.0,2.0,5.0,4.0,1.0,3.0,5.0,3.0,2.0,3.0,2.0,3.0,1.0,2.0,0,70,57.0,13053.0,30,best_sellers,500
